vendorID,passengerCount,tripDistance,totalAmount,puYear,puMonth,month_num,day_of_month,day_of_week,hour_of_day
2,1,0.57,5.3,2015,1,1,7,2,23
1,1,5.0,19.8,2015,1,1,7,2,8
2,1,0.61,6.8,2015,1,1,18,6,17
2,1,7.89,31.4,2015,1,1,11,6,20
2,1,1.32,7.8,2015,1,1,18,6,9
2,1,2.35,12.68,2015,1,1,10,5,17
2,1,2.47,11.8,2015,1,1,17,5,20
2,2,3.06,14.3,2015,1,1,18,6,4
1,1,1.0,7.8,2015,1,1,9,4,19
2,1,0.61,5.3,2015,1,1,4,6,14
2,1,1.24,8.0,2015,1,1,28,2,13
2,1,6.2,20.3,2015,1,1,25,6,13
1,1,2.1,9.8,2015,1,1,1,3,4
2,1,4.04,21.63,2015,1,1,14,2,14
2,1,3.36,16.4,2015,1,1,17,5,18
2,1,0.92,6.8,2015,1,1,21,2,8
1,1,0.7,5.8,2015,1,1,21,2,23
2,1,1.2,9.3,2015,1,1,7,2,19
2,1,1.69,10.3,2015,1,1,9,4,19
2,1,1.32,7.0,2015,1,1,16,4,19
2,5,2.33,15.0,2015,1,1,17,5,20
2,1,4.77,23.13,2015,1,1,24,5,21
2,1,0.7,6.42,2015,1,1,16,4,8
1,1,0.7,7.3,2015,1,1,29,3,17
2,1,2.49,10.0,2015,1,1,9,4,1
2,1,2.43,9.8,2015,1,1,29,3,9
2,1,1.46,10.4,2015,1,1,23,4,18
2,1,1.78,10.3,2015,1,1,14,2,22
2,1,5.14,23.8,2015,1,1,10,5,10
2,1,4.39,20.3,2015,1,1,28,2,5
2,2,0.91,8.5,2015,1,1,8,3,17
2,1,3.22,17.3,2015,1,1,13,1,7
1,4,1.1,8.3,2015,1,1,11,6,2
1,1,2.2,11.8,2015,1,1,30,4,7
2,1,3.18,14.3,2015,1,1,17,5,12
1,1,1.3,10.55,2015,1,1,10,5,21
2,2,0.87,7.3,2015,1,1,15,3,20
1,1,1.5,8.8,2015,1,1,2,4,17
2,1,2.51,14.55,2015,1,1,21,2,22
2,1,2.68,14.3,2015,1,1,18,6,1
2,1,1.45,9.2,2015,1,1,1,3,12
1,1,1.8,11.3,2015,1,1,28,2,21
2,1,1.39,8.8,2015,1,1,1,3,1
2,5,1.82,9.8,2015,1,1,15,3,1
2,1,0.72,6.3,2015,1,1,5,0,8
2,2,1.98,10.4,2015,1,1,11,6,6
2,1,3.95,21.75,2015,1,1,30,4,19
2,1,0.89,7.3,2015,1,1,11,6,1
1,3,1.2,6.8,2015,1,1,10,5,16
2,1,1.13,7.8,2015,1,1,17,5,14
2,1,0.7,5.3,2015,1,1,22,3,9
2,2,0.83,6.3,2015,1,1,9,4,7
1,1,0.4,5.8,2015,1,1,22,3,15
2,1,1.65,11.6,2015,1,1,20,1,18
2,1,3.67,19.56,2015,1,1,22,3,21
2,1,0.62,5.8,2015,1,1,24,5,1
2,1,6.66,24.0,2015,1,1,10,5,9
2,1,1.85,8.8,2015,1,1,15,3,20
2,5,3.02,13.8,2015,1,1,3,5,19
2,1,3.93,16.8,2015,1,1,22,3,18
2,1,1.38,8.8,2015,1,1,7,2,8
2,2,4.33,16.8,2015,1,1,17,5,10
2,1,2.67,13.8,2015,1,1,8,3,21
1,1,2.4,11.3,2015,1,1,12,0,23
1,1,1.1,6.3,2015,1,1,19,0,7
2,1,1.03,9.9,2015,1,1,16,4,19
1,1,1.8,9.3,2015,1,1,6,1,23
2,1,4.74,19.8,2015,1,1,6,1,21
2,1,4.22,24.8,2015,1,1,21,2,8
2,1,0.82,7.3,2015,1,1,13,1,14
1,1,2.8,14.75,2015,1,1,7,2,22
2,1,0.97,7.3,2015,1,1,19,0,20
1,1,2.3,11.3,2015,1,1,20,1,20
1,1,0.7,6.35,2015,1,1,24,5,1
2,1,0.88,8.84,2015,1,1,21,2,15
1,1,3.2,15.95,2015,1,1,5,0,21
2,1,1.82,13.15,2015,1,1,16,4,16
2,1,0.96,7.3,2015,1,1,15,3,20
2,1,1.5,10.3,2015,1,1,22,3,16
2,1,1.06,6.8,2015,1,1,24,5,9
2,1,1.19,7.3,2015,1,1,28,2,9
2,1,4.41,20.0,2015,1,1,3,5,23
2,6,0.56,4.5,2015,1,1,1,3,16
2,1,3.6,17.6,2015,1,1,30,4,19
1,1,3.2,16.55,2015,1,1,18,6,3
1,1,4.0,22.3,2015,1,1,9,4,19
2,1,0.38,5.3,2015,1,1,29,3,12
2,3,11.57,59.12,2015,1,1,26,0,14
2,1,14.31,57.6,2015,1,1,25,6,21
2,1,2.55,11.8,2015,1,1,20,1,14
1,1,0.8,7.56,2015,1,1,26,0,8
2,1,1.28,8.3,2015,1,1,4,6,11
2,5,3.75,13.8,2015,1,1,20,1,12
2,1,0.79,6.3,2015,1,1,15,3,0
2,1,1.25,10.3,2015,1,1,5,0,16
2,1,1.35,10.18,2015,1,1,10,5,20
2,1,1.75,10.8,2015,1,1,10,5,20
2,1,0.56,5.3,2015,1,1,9,4,13
2,1,1.14,8.6,2015,1,1,17,5,3
2,1,12.79,48.8,2015,1,1,30,4,16
2,1,0.8,6.8,2015,1,1,16,4,21
2,1,2.23,12.8,2015,1,1,7,2,12
2,1,3.02,13.3,2015,1,1,16,4,19
2,1,2.4,12.8,2015,1,1,20,1,20
2,1,8.1,25.3,2015,1,1,29,3,14
2,1,1.34,11.0,2015,1,1,5,0,16
2,1,2.75,11.3,2015,1,1,7,2,22
1,1,0.9,8.8,2015,1,1,14,2,11
2,1,3.13,15.0,2015,1,1,17,5,20
2,1,7.35,26.3,2015,1,1,9,4,19
2,5,0.52,5.8,2015,1,1,13,1,19
2,1,0.99,7.4,2015,1,1,16,4,20
2,1,1.1,6.3,2015,1,1,1,3,19
2,1,1.37,9.8,2015,1,1,8,3,19
2,1,3.5,18.2,2015,1,1,1,3,19
1,3,1.2,7.8,2015,1,1,24,5,1
2,1,5.26,26.62,2015,1,1,28,2,17
1,1,1.2,8.3,2015,1,1,23,4,3
1,1,1.8,13.3,2015,1,1,20,1,16
2,3,1.5,11.6,2015,1,1,10,5,22
2,6,0.67,5.8,2015,1,1,11,6,3
2,1,1.08,11.0,2015,1,1,30,4,19
2,1,2.99,14.3,2015,1,1,9,4,0
2,1,1.5,8.5,2015,1,1,5,0,23
2,1,10.44,35.8,2015,1,1,13,1,21
2,1,3.27,16.3,2015,1,1,19,0,19
2,1,5.27,28.3,2015,1,1,12,0,10
2,1,14.22,41.8,2015,1,1,23,4,22
1,1,1.5,6.3,2015,1,1,14,2,8
2,1,3.73,16.8,2015,1,1,21,2,15
2,2,0.78,5.8,2015,1,1,29,3,11
1,1,7.5,29.15,2015,1,1,3,5,23
2,3,1.85,15.2,2015,1,1,20,1,19
2,1,2.06,11.3,2015,1,1,10,5,14
2,5,6.96,33.0,2015,1,1,30,4,9
2,1,1.5,12.8,2015,1,1,28,2,17
2,1,6.78,27.8,2015,1,1,24,5,17
2,1,4.73,18.8,2015,1,1,7,2,8
2,1,7.07,27.8,2015,1,1,28,2,9
2,1,4.23,20.3,2015,1,1,22,3,9
2,1,2.13,15.2,2015,1,1,16,4,18
2,1,3.68,13.0,2015,1,1,30,4,15
2,1,2.77,12.3,2015,1,1,25,6,5
2,1,1.52,10.8,2015,1,1,16,4,14
2,1,4.85,26.15,2015,1,1,29,3,15
2,1,0.4,5.3,2015,1,1,8,3,0
2,5,3.04,15.2,2015,1,1,10,5,1
1,1,1.2,7.3,2015,1,1,8,3,10
1,1,1.6,10.0,2015,1,1,16,4,11
2,5,4.22,17.0,2015,1,1,18,6,15
2,5,3.85,19.56,2015,1,1,25,6,11
1,1,3.1,16.6,2015,1,1,21,2,7
2,1,1.31,10.3,2015,1,1,20,1,19
2,1,2.63,14.0,2015,1,1,10,5,19
2,1,15.45,64.93,2015,1,1,19,0,7
2,1,1.02,7.8,2015,1,1,25,6,0
1,3,1.0,9.35,2015,1,1,29,3,19
2,1,6.53,24.3,2015,1,1,19,0,23
1,1,3.3,15.8,2015,1,1,8,3,12
2,3,10.34,33.8,2015,1,1,11,6,20
2,1,0.66,6.2,2015,1,1,17,5,19
2,1,4.78,20.3,2015,1,1,17,5,0
2,1,7.49,27.3,2015,1,1,15,3,15
1,1,2.9,14.3,2015,1,1,5,0,11
1,2,3.0,13.8,2015,1,1,1,3,2
1,1,0.8,6.5,2015,1,1,24,5,16
2,1,1.48,9.3,2015,1,1,9,4,21
2,1,5.9,23.8,2015,1,1,1,3,3
2,1,1.05,6.8,2015,1,1,4,6,13
2,1,6.17,24.3,2015,1,1,16,4,19
1,1,1.8,9.3,2015,1,1,17,5,0
2,1,2.0,13.3,2015,1,1,14,2,13
2,1,4.48,15.8,2015,1,1,1,3,4
1,1,14.4,54.35,2015,1,1,5,0,11
1,1,0.3,4.8,2015,1,1,29,3,13
2,1,1.46,9.3,2015,1,1,21,2,19
2,1,0.86,6.8,2015,1,1,24,5,1
1,1,10.1,56.63,2015,1,1,12,0,9
2,1,1.31,7.0,2015,1,1,15,3,22
2,1,0.52,7.95,2015,1,1,14,2,19
2,1,1.2,8.3,2015,1,1,5,0,8
2,1,2.65,11.8,2015,1,1,18,6,3
2,1,0.61,5.8,2015,1,1,20,1,17
2,1,1.59,11.6,2015,1,1,30,4,10
2,1,1.7,8.8,2015,1,1,19,0,19
2,4,1.43,10.79,2015,1,1,24,5,22
1,4,1.0,7.3,2015,1,1,3,5,22
1,1,1.0,7.8,2015,1,1,16,4,23
2,1,0.6,6.8,2015,1,1,21,2,20
2,1,3.26,13.3,2015,1,1,29,3,14
2,1,4.08,20.6,2015,1,1,7,2,23
2,1,0.79,5.8,2015,1,1,15,3,11
2,1,3.01,12.8,2015,1,1,22,3,13
2,1,0.74,7.95,2015,1,1,8,3,17
2,1,9.46,32.3,2015,1,1,15,3,15
2,1,6.23,32.4,2015,1,1,16,4,7
2,6,3.37,17.88,2015,1,1,23,4,18
2,1,0.94,5.8,2015,1,1,1,3,6
2,3,0.64,5.8,2015,1,1,11,6,17
2,5,2.26,12.3,2015,1,1,9,4,19
2,1,6.34,26.16,2015,1,1,28,2,15
1,1,1.1,9.8,2015,1,1,19,0,8
2,1,3.23,15.3,2015,1,1,4,6,15
2,1,0.65,7.4,2015,1,1,19,0,21
1,1,3.4,15.0,2015,1,1,3,5,21
2,1,1.53,11.2,2015,1,1,11,6,22
1,1,4.6,18.3,2015,1,1,18,6,23
2,1,5.02,17.3,2015,1,1,10,5,2
2,1,1.78,12.96,2015,1,1,24,5,16
1,1,2.9,12.3,2015,1,1,8,3,23
2,1,4.0,26.4,2015,1,1,4,6,17
2,2,6.0,23.8,2015,1,1,25,6,18
2,1,5.2,19.3,2015,1,1,30,4,21
2,1,2.25,10.8,2015,1,1,23,4,1
2,1,3.15,19.2,2015,1,1,19,0,13
1,1,2.5,12.3,2015,1,1,7,2,19
1,1,7.7,28.55,2015,1,1,9,4,22
2,1,0.47,4.8,2015,1,1,8,3,2
2,1,2.66,13.4,2015,1,1,10,5,1
2,1,1.46,10.8,2015,1,1,16,4,10
2,1,6.04,22.3,2015,1,1,4,6,4
2,1,1.51,8.8,2015,1,1,10,5,1
2,1,4.0,20.6,2015,1,1,25,6,16
2,1,1.48,12.8,2015,1,1,15,3,18
2,5,3.31,14.3,2015,1,1,10,5,1
2,6,5.8,23.3,2015,1,1,3,5,21
2,5,2.09,12.8,2015,1,1,3,5,9
2,1,1.94,13.4,2015,1,1,9,4,18
2,1,0.76,7.3,2015,1,1,16,4,17
1,1,2.6,11.3,2015,1,1,10,5,1
2,6,1.14,7.3,2015,1,1,25,6,15
2,1,2.89,13.8,2015,1,1,28,2,22
2,1,2.78,14.3,2015,1,1,28,2,14
1,1,7.8,26.3,2015,1,1,24,5,23
1,1,6.0,27.3,2015,1,1,2,4,11
1,2,0.7,7.85,2015,1,1,9,4,21
2,1,5.12,20.0,2015,1,1,1,3,21
2,1,1.64,11.42,2015,1,1,2,4,16
2,1,3.72,17.3,2015,1,1,1,3,20
2,1,4.64,19.8,2015,1,1,18,6,3
2,1,0.38,4.8,2015,1,1,9,4,21
1,1,2.7,12.5,2015,1,1,1,3,1
1,1,1.3,8.8,2015,1,1,3,5,4
2,1,2.71,14.8,2015,1,1,29,3,8
2,1,7.63,29.0,2015,1,1,17,5,15
2,1,8.29,39.13,2015,1,1,14,2,9
2,1,2.51,10.8,2015,1,1,26,0,6
2,1,0.97,7.4,2015,1,1,11,6,2
2,4,1.61,8.8,2015,1,1,1,3,2
2,1,2.71,12.0,2015,1,1,21,2,7
2,1,8.84,32.0,2015,1,1,11,6,3
2,1,3.7,18.3,2015,1,1,6,1,16
2,1,6.14,20.8,2015,1,1,11,6,0
1,1,1.0,8.75,2015,1,1,5,0,11
2,1,0.76,5.8,2015,1,1,10,5,2
2,1,0.77,6.8,2015,1,1,24,5,10
2,1,4.29,21.96,2015,1,1,21,2,19
2,1,6.51,20.8,2015,1,1,30,4,21
2,1,0.96,7.4,2015,1,1,2,4,20
2,1,0.49,4.8,2015,1,1,6,1,8
2,1,0.38,5.0,2015,1,1,4,6,18
2,1,1.19,8.92,2015,1,1,12,0,9
1,2,3.7,21.63,2015,1,1,28,2,16
1,1,1.0,8.3,2015,1,1,21,2,17
2,1,2.33,16.8,2015,1,1,9,4,17
2,1,12.26,50.0,2015,1,1,14,2,14
2,1,0.79,8.3,2015,1,1,2,4,10
2,1,2.81,12.8,2015,1,1,16,4,23
2,1,6.15,23.0,2015,1,1,29,3,4
2,1,3.98,21.42,2015,1,1,10,5,3
2,2,0.65,5.8,2015,1,1,24,5,20
1,1,2.5,14.15,2015,1,1,1,3,0
1,1,3.0,12.8,2015,1,1,10,5,6
2,1,1.38,7.8,2015,1,1,2,4,16
2,1,0.5,6.3,2015,1,1,21,2,17
2,5,7.53,37.3,2015,1,1,10,5,0
2,1,0.73,9.3,2015,1,1,16,4,16
1,1,1.0,9.8,2015,1,1,15,3,11
2,1,1.55,11.8,2015,1,1,26,0,17
2,1,1.33,7.3,2015,1,1,24,5,19
1,1,3.1,80.0,2015,1,1,18,6,13
2,1,0.87,5.8,2015,1,1,17,5,6
2,1,4.81,18.3,2015,1,1,3,5,19
1,1,3.4,20.3,2015,1,1,2,4,14
2,1,0.32,5.0,2015,1,1,25,6,23
2,1,0.75,6.8,2015,1,1,23,4,22
2,1,1.04,9.2,2015,1,1,2,4,16
2,1,0.61,4.8,2015,1,1,11,6,12
1,1,0.7,5.8,2015,1,1,18,6,12
2,5,3.15,16.0,2015,1,1,11,6,17
2,1,2.66,11.8,2015,1,1,18,6,8
2,1,2.04,11.3,2015,1,1,25,6,0
2,1,5.36,18.3,2015,1,1,3,5,5
2,1,0.49,5.3,2015,1,1,23,4,8
2,1,2.25,12.3,2015,1,1,30,4,14
2,1,7.88,24.3,2015,1,1,16,4,23
2,3,1.45,9.2,2015,1,1,18,6,9
2,2,0.65,6.3,2015,1,1,24,5,4
1,1,1.3,7.3,2015,1,1,11,6,19
2,2,4.33,25.3,2015,1,1,29,3,17
2,1,0.91,6.8,2015,1,1,30,4,13
2,1,1.72,10.56,2015,1,1,29,3,23
1,1,1.5,9.3,2015,1,1,6,1,13
2,1,2.37,14.6,2015,1,1,15,3,20
1,2,1.3,10.3,2015,1,1,10,5,23
2,1,4.89,23.76,2015,1,1,25,6,22
1,1,1.8,10.3,2015,1,1,23,4,17
2,1,0.81,7.3,2015,1,1,16,4,12
2,1,5.7,26.3,2015,1,1,14,2,9
2,1,0.78,5.3,2015,1,1,25,6,8
2,1,6.1,19.8,2015,1,1,1,3,2
2,1,1.0,8.5,2015,1,1,24,5,17
2,5,9.21,33.2,2015,1,1,3,5,0
2,1,1.85,9.3,2015,1,1,10,5,23
1,1,1.4,10.55,2015,1,1,1,3,3
2,1,0.72,6.8,2015,1,1,22,3,16
2,1,1.55,9.3,2015,1,1,20,1,21
2,1,1.17,9.8,2015,1,1,10,5,14
1,2,14.3,52.3,2015,1,1,14,2,13
1,3,3.0,15.3,2015,1,1,17,5,16
2,2,1.25,8.3,2015,1,1,16,4,14
2,1,1.12,8.6,2015,1,1,22,3,13
2,5,2.41,11.3,2015,1,1,3,5,22
1,1,0.9,7.3,2015,1,1,25,6,5
2,3,2.88,19.0,2015,1,1,25,6,13
2,1,1.93,10.8,2015,1,1,22,3,9
2,1,2.06,16.4,2015,1,1,23,4,12
2,1,2.55,13.57,2015,1,1,23,4,6
1,1,6.8,21.8,2015,1,1,15,3,22
1,1,2.4,7.0,2015,1,1,30,4,19
2,1,2.38,15.2,2015,1,1,6,1,12
2,1,1.9,11.3,2015,1,1,9,4,22
2,1,3.35,17.25,2015,1,1,23,4,21
2,2,2.05,12.8,2015,1,1,13,1,13
2,1,3.09,14.8,2015,1,1,14,2,20
2,1,0.78,5.8,2015,1,1,9,4,6
2,6,1.26,7.3,2015,1,1,28,2,10
2,1,1.4,7.8,2015,1,1,15,3,7
2,5,8.35,32.6,2015,1,1,1,3,23
2,1,0.86,8.0,2015,1,1,9,4,21
1,1,1.7,11.75,2015,1,1,18,6,9
2,2,3.99,18.3,2015,1,1,2,4,10
2,3,6.92,26.3,2015,1,1,7,2,19
1,1,2.2,14.75,2015,1,1,22,3,11
1,1,0.9,8.3,2015,1,1,23,4,0
2,1,1.82,11.76,2015,1,1,28,2,11
2,3,1.15,7.8,2015,1,1,12,0,16
2,1,7.81,28.8,2015,1,1,15,3,8
2,1,0.87,7.3,2015,1,1,13,1,18
1,1,6.1,23.75,2015,1,1,3,5,1
2,1,7.0,29.76,2015,1,1,25,6,3
2,3,1.56,10.55,2015,1,1,26,0,12
2,1,0.79,6.3,2015,1,1,3,5,22
2,1,1.47,11.2,2015,1,1,19,0,15
1,1,3.4,12.8,2015,1,1,24,5,8
2,1,5.08,25.5,2015,1,1,17,5,21
2,2,2.18,11.6,2015,1,1,11,6,1
2,2,2.64,12.3,2015,1,1,11,6,0
2,6,7.8,31.3,2015,1,1,16,4,18
2,1,0.7,6.8,2015,1,1,7,2,19
2,1,1.96,14.6,2015,1,1,16,4,18
2,1,16.81,56.6,2015,1,1,17,5,3
2,1,0.39,8.3,2015,1,1,11,6,18
2,1,3.79,20.8,2015,1,1,9,4,15
2,1,1.37,7.3,2015,1,1,23,4,22
2,1,1.34,7.8,2015,1,1,1,3,2
2,1,0.7,6.8,2015,1,1,18,6,21
2,1,1.99,11.3,2015,1,1,10,5,14
2,1,4.95,25.56,2015,1,1,29,3,23
2,5,1.03,6.8,2015,1,1,20,1,3
2,1,1.14,9.36,2015,1,1,24,5,16
2,5,4.47,22.68,2015,1,1,30,4,6
2,1,3.31,16.8,2015,1,1,28,2,18
2,1,9.7,39.13,2015,1,1,26,0,5
2,1,1.6,9.8,2015,1,1,9,4,23
2,1,1.3,9.9,2015,1,1,28,2,14
2,3,1.7,9.8,2015,1,1,24,5,21
2,1,3.9,19.12,2015,1,1,24,5,8
2,2,0.99,8.0,2015,1,1,12,0,17
2,1,1.07,7.3,2015,1,1,15,3,7
2,1,10.72,34.3,2015,1,1,6,1,23
1,1,0.4,5.8,2015,1,1,7,2,17
2,1,2.52,12.3,2015,1,1,15,3,22
1,1,4.3,20.0,2015,1,1,9,4,0
2,1,2.07,11.8,2015,1,1,15,3,18
1,1,1.0,5.8,2015,1,1,1,3,9
2,2,1.08,7.8,2015,1,1,15,3,18
2,1,0.94,8.76,2015,1,1,30,4,11
1,1,0.6,5.8,2015,1,1,13,1,10
1,1,1.3,7.3,2015,1,1,4,6,16
1,1,7.4,32.25,2015,1,1,29,3,7
2,1,1.19,7.8,2015,1,1,18,6,23
2,1,1.4,9.3,2015,1,1,30,4,7
2,1,1.44,8.3,2015,1,1,13,1,8
1,1,0.9,7.55,2015,1,1,7,2,19
1,1,4.7,17.8,2015,1,1,23,4,9
2,1,0.67,5.8,2015,1,1,24,5,21
1,1,6.8,21.5,2015,1,1,24,5,13
2,1,1.03,8.3,2015,1,1,3,5,22
1,1,1.6,15.35,2015,1,1,30,4,16
1,1,1.9,12.85,2015,1,1,29,3,12
2,1,0.41,4.8,2015,1,1,7,2,9
2,1,1.26,8.3,2015,1,1,1,3,23
1,1,0.4,4.8,2015,1,1,7,2,23
1,1,1.5,10.3,2015,1,1,24,5,0
1,1,2.4,11.3,2015,1,1,13,1,0
2,1,2.51,9.8,2015,1,1,26,0,7
1,1,1.5,12.35,2015,1,1,17,5,15
2,1,3.98,21.3,2015,1,1,8,3,11
2,1,4.09,17.3,2015,1,1,14,2,23
2,1,0.79,6.8,2015,1,1,15,3,15
2,1,1.11,7.3,2015,1,1,17,5,3
2,1,0.41,5.3,2015,1,1,11,6,1
2,1,1.28,7.8,2015,1,1,1,3,19
1,1,1.8,9.3,2015,1,1,10,5,21
2,1,0.94,7.4,2015,1,1,17,5,13
2,6,0.65,8.6,2015,1,1,11,6,1
2,6,2.12,10.3,2015,1,1,9,4,23
1,1,1.9,12.35,2015,1,1,2,4,20
2,1,1.3,7.3,2015,1,1,17,5,14
2,1,1.76,13.4,2015,1,1,8,3,12
2,1,0.83,6.96,2015,1,1,23,4,14
1,1,9.2,37.3,2015,1,1,10,5,0
2,1,1.16,6.3,2015,1,1,15,3,19
2,1,2.21,10.3,2015,1,1,1,3,0
1,1,0.6,5.75,2015,1,1,9,4,14
2,2,5.05,21.8,2015,1,1,14,2,10
